Word,Meaning
שמאלי,left-handed
ימני,right-handed
חוקי,legal
שונה,different
מקומי,local
נדיר,rare
פופולרי,popular
זמין,available
רשמי,official
סופי,final
שלם,"complete, whole"
מיידי,immediate
יחיד,single
מסורתי,traditional
מודרני,modern
היסטורי,historic
חכם,smart
טיפש,foolish
מכוער,ugly
מדהים,amazing
דתי,religious
תרבותי,cultural
מוכן,ready
עמוק,deep
טהור,pure
ראשי,main
חד,sharp
בטוח,certain
בודד,"lonely, single"
טרי,fresh
עבה,thick
צר,narrow
רחב,wide
מרתק,fascinating
מוזר,"strange, weird"
עולמי,global
בריא,healthy
תחתון,under (adj.)
עליון,upper
עתיק,ancient
יומי,daily
אישי,personal
שבועי,weekly
גרוע,bad
מרשים,impressive
חודשי,montly
שנתי,yearly
נפלא,amazing
מטומטם,silly
